,Value
Total Return,0.5197836556367026
Annualized Return,0.5274672640596894
Annualized Volatility,0.31813315566122585
Sharpe Ratio,1.6580078331143189
Sortino Ratio,2.255528588316098
Calmar Ratio,1.9102354268756365
Maximum Drawdown,-0.27612683580181
VaR (95%),-0.02982659420584749
Win Rate,0.5622489959839357
Downside Deviation,0.23385527755756744
Skewness,0.5395724326103103
Excess Kurtosis,8.062097229310126
Best Day,0.1293188393486351
Worst Day,-0.07685790969995816
Best Month,0.11736994809102277
Worst Month,-0.09359922488778272
Average Recovery Days,11.210526315789474
Number of Rebalances,1.0
Avg Quarterly Turnover,0.10920327863071051
Total Transaction Costs,19.896522586745945
Total Taxes,596.6942151503052
Total Costs (% of Initial),0.006165907377370512
Number of Assets,15.0
HHI,0.1896956676617293
Effective N Assets,5.271601678237736
Max Weight,0.2797406024919938
Min Weight,0.01
Weight Std Dev,0.09056452616599307
