,Value
Total Return,0.5931112237021285
Annualized Return,0.6020748297951215
Annualized Volatility,0.30136114202589415
Sharpe Ratio,1.9978515668864463
Sortino Ratio,2.9098809435449016
Calmar Ratio,2.703355794195929
Maximum Drawdown,-0.22271386958674422
VaR (95%),-0.023211460644466147
Win Rate,0.5742971887550201
Downside Deviation,0.20690703210065237
Skewness,0.9750845902104257
Excess Kurtosis,9.102016472733556
Best Day,0.1185731679110935
Worst Day,-0.07021379070084527
Best Month,0.1426745242949229
Worst Month,-0.07370419659236566
Average Recovery Days,9.136363636363637
Number of Rebalances,3.0
Avg Quarterly Turnover,0.1807845058623728
Total Transaction Costs,149.90458963295902
Total Taxes,3265.0962828401807
Total Costs (% of Initial),0.034150008724731395
Number of Assets,15.0
HHI,0.2697703710308115
Effective N Assets,3.706856302191119
Max Weight,0.4
Min Weight,0.01
Weight Std Dev,0.1163625668228819
